28
Player	Span	Mat	Inns	Overs	Mdns	Runs	WktsDescending	Ave	Econ
R Ashwin	2011-2015	26	26	100	1	712	27	26.37	7.12
Yuvraj Singh	2011-2014	18	12	33.4	0	212	16	13.25	6.29
B Kumar	2012-2015	13	13	45	0	294	13	22.61	6.53
AB Dinda	2012-2012	6	6	20	1	169	12	14.08	8.45
IK Pathan	2012-2012	8	8	26	0	223	12	18.58	8.57
L Balaji	2012-2012	5	5	16	0	121	10	12.1	7.56
A Mishra	2014-2014	6	6	22	1	147	10	14.7	6.68
RA Jadeja	2011-2014	13	13	41.4	1	297	9	33	7.12
Harbhajan Singh	2011-2015	5	5	18	2	106	8	13.25	5.88
MM Sharma	2014-2015	8	8	23	0	185	6	30.83	8.04
P Kumar	2011-2012	7	7	20	1	161	5	32.2	8.05
Mohammed Shami	2014-2014	4	4	14	0	125	5	25	8.92
AR Patel	2015-2015	4	4	15	0	102	5	20.4	6.8
SK Raina	2011-2015	28	11	28.1	0	208	5	41.6	7.38
R Vinay Kumar	2011-2013	6	6	20.3	0	165	5	33	8.04
Z Khan	2012-2012	5	5	17	0	121	4	30.25	7.11
MM Patel	2011-2011	3	3	10	0	86	4	21.5	8.6
V Kohli	2011-2015	28	11	22.4	0	183	3	61	8.07
YK Pathan	2011-2012	4	4	11	0	87	3	29	7.9
R Sharma	2012-2012	2	2	7.2	0	56	3	18.66	7.63
PP Chawla	2012-2012	4	4	12	1	82	2	41	6.83
A Nehra	2011-2011	1	1	4	0	22	2	11	5.5
I Sharma	2012-2013	3	3	12	0	109	2	54.5	9.08
S Aravind	2015-2015	1	1	3.4	0	44	1	44	12
STR Binny	2015-2015	2	2	4	0	22	1	22	5.5
Sandeep Sharma	2015-2015	2	2	7	0	73	1	73	10.42
KV Sharma	2014-2014	1	1	4	0	28	1	28	7
UT Yadav	2012-2012	1	1	3	0	24	1	24	8
