28
Player	Span	Mat	Inns	NO	RunsDescending	HS	Ave	BF	SR	100	50	0	4s	6s
JP Duminy	2007-2015	62	57	18	1523	96	39.05	1241	122.72	0	8	6	114	51
AB de Villiers	2006-2015	62	59	9	1166	79	23.32	923	126.32	0	6	4	104	32
GC Smith	2005-2011	33	33	2	982	89	31.67	770	127.53	0	5	1	123	26
F du Plessis	2012-2015	26	26	5	825	119	39.28	612	134.8	1	6	0	78	24
HM Amla	2009-2015	29	29	1	653	56	23.32	541	120.7	0	1	1	74	10
JH Kallis	2005-2012	24	22	3	653	73	34.36	551	118.51	0	5	0	54	20
DA Miller	2010-2015	37	32	11	612	47	29.14	479	127.76	0	0	0	43	20
JA Morkel	2005-2015	49	37	11	569	43	21.88	397	143.32	0	0	1	29	39
Q de Kock	2012-2015	22	22	4	513	48	28.5	422	121.56	0	0	2	57	15
HH Gibbs	2005-2010	23	23	1	400	90	18.18	318	125.78	0	3	4	45	12
LE Bosman	2006-2010	14	14	1	323	94	24.84	219	147.48	0	3	2	27	20
RR Rossouw	2014-2015	10	10	3	274	78	39.14	182	150.54	0	2	1	26	11
MV Boucher	2005-2010	25	21	6	268	36	17.86	275	97.45	0	0	0	22	2
RE Levi	2012-2012	12	12	2	236	117	23.6	166	142.16	1	1	2	20	15
F Behardien	2012-2015	23	16	7	229	36	25.44	198	115.65	0	0	1	18	5
MN van Wyk	2007-2015	8	7	1	225	114	37.5	157	143.31	1	1	0	19	14
CA Ingram	2010-2012	9	9	1	210	78	26.25	162	129.62	0	1	1	23	7
JM Kemp	2005-2007	8	7	3	203	89	50.75	160	126.87	0	1	0	17	10
J Botha	2006-2012	39	20	9	201	34	18.27	165	121.81	0	0	1	15	9
H Davids	2012-2013	9	9	0	161	68	17.88	134	120.14	0	2	2	18	4
JL Ontong	2008-2015	13	9	0	157	48	17.44	107	146.72	0	0	1	6	11
RJ Peterson	2006-2014	20	12	4	124	34	15.5	113	109.73	0	0	1	13	2
RR Hendricks	2014-2015	5	5	0	121	49	24.2	117	103.41	0	0	1	13	1
WD Parnell	2009-2015	35	9	6	104	29	34.66	85	122.35	0	0	0	9	3
SM Pollock	2005-2008	12	9	2	86	36	12.28	70	122.85	0	0	3	4	4
RE van der Merwe	2009-2010	13	6	3	57	48	19	50	114	0	0	1	2	4
JJ van der Wath	2006-2007	8	4	1	46	21	15.33	39	117.94	0	0	0	3	1
D Wiese	2013-2015	12	6	2	39	21	9.75	33	118.18	0	0	1	2	1
