Player	Span	Mat	Inns	NO	Runs	HS	Ave	BFDescending	SR	100	50	0	4s	6s
S Sreesanth	2006-2008	8	2	1	19	19	19.0	11	172.72	0	0	1	4	0
R Dravid	2011-2011	1	1	0	31	31	31.0	21	147.61	0	0	0	0	3
YK Pathan	2007-2012	22	18	5	236	37	18.15	161	146.58	0	0	3	11	17
Yuvraj Singh	2007-2014	38	36	6	967	77	32.23	665	145.41	0	8	0	61	63
V Sehwag	2006-2012	17	17	0	389	68	22.88	268	145.14	0	2	1	42	16
A Nehra	2009-2011	8	3	0	22	22	7.33	16	137.0	0	0	2	1	2
SK Raina	2006-2015	46	40	9	983	101	31.7	731	134.47	1	3	1	89	36
V Kohli	2010-2015	30	28	5	1016	78	44.17	766	132.0	0	9	0	106	23
Z Khan	2006-2012	17	4	2	13	9	6.5	10	130.0	0	0	0	0	1
Harbhajan Singh	2006-2015	25	12	5	107	21	15.28	83	128.91	0	0	1	11	4
RG Sharma	2007-2015	44	37	11	867	106	33.34	676	128.25	1	7	1	75	32
