Player	Span	Mat	Inns	NO	RunsDescending	HS	Ave	BF	SR	100	50	0	4s	6s
RR Rossouw	2014-2015	10	10	3	274	78	39.14	182	150.54	0	2	1	26	11
LE Bosman	2006-2010	14	14	1	323	94	24.84	219	147.48	0	3	2	27	20
JL Ontong	2008-2015	13	9	0	157	48	17.44	107	146.72	0	0	1	6	11
JA Morkel	2005-2015	49	37	11	569	43	21.88	397	143.32	0	0	1	29	39
MN van Wyk	2007-2015	8	7	1	225	114	37.5	157	143.31	1	1	0	19	14
RE Levi	2012-2012	12	12	2	236	117	23.6	166	142.16	1	1	2	20	15
F du Plessis	2012-2015	26	26	5	825	119	39.28	612	134.8	1	6	0	78	24
CA Ingram	2010-2012	9	9	1	210	78	26.25	162	129.62	0	1	1	23	7
DA Miller	2010-2015	37	32	11	612	47	29.14	479	127.76	0	0	0	43	20
GC Smith	2005-2011	33	33	2	982	89	31.67	770	127.53	0	5	1	123	26
JM Kemp	2005-2007	8	7	3	203	89	50.75	160	126.87	0	1	0	17	10
